epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6903,1.3804,10.7743,2.12837,0.5555,0.46475,0.43905,0.33668,1.05889,4.73572,1.61958,0.00331667,0.00331667,0.07015
2,137.016,1.1722,5.2096,1.82799,0.7175,0.45549,0.54097,0.39369,0.97551,3.96918,1.51887,0.00658417,0.00658417,0.0400842
3,205.258,1.15306,5.26127,1.80058,0.65022,0.53142,0.47841,0.36515,0.98423,4.49587,1.54062,0.00978566,0.00978566,0.00995233
4,273.492,1.16,5.16267,1.78637,0.61268,0.63834,0.56922,0.39879,1.0003,4.20452,1.51142,0.009703,0.009703,0.009703
5,341.715,1.14051,4.43072,1.74829,0.62398,0.60859,0.60763,0.41534,1.06973,3.82251,1.56062,0.009604,0.009604,0.009604
6,409.937,1.14512,4.26715,1.77066,0.64665,0.65111,0.63475,0.43243,1.01877,3.54793,1.52144,0.009505,0.009505,0.009505
7,478.212,1.11759,4.05933,1.73519,0.72227,0.64839,0.69792,0.47686,0.99459,3.3453,1.49083,0.009406,0.009406,0.009406
8,546.498,1.10088,3.89934,1.70992,0.67047,0.62254,0.64524,0.4209,1.10963,3.59091,1.56864,0.009307,0.009307,0.009307
9,614.672,1.08377,3.75055,1.7085,0.70833,0.71488,0.72719,0.48806,0.96956,3.13573,1.48312,0.009208,0.009208,0.009208
10,682.933,1.09404,3.67239,1.71543,0.79107,0.72514,0.75686,0.49353,1.01669,3.09159,1.49713,0.009109,0.009109,0.009109
11,751.2,1.07904,3.54271,1.69897,0.7668,0.74144,0.76361,0.50801,0.96505,2.97053,1.47411,0.00901,0.00901,0.00901
12,819.396,1.06494,3.44645,1.68926,0.77629,0.75434,0.77649,0.50761,0.98472,2.92174,1.46176,0.008911,0.008911,0.008911
13,887.6,1.05535,3.3147,1.66431,0.806,0.78828,0.78725,0.51231,0.98181,2.92936,1.46873,0.008812,0.008812,0.008812
14,955.867,1.0524,3.28749,1.65969,0.80668,0.77578,0.77864,0.50056,1.00241,2.93301,1.47452,0.008713,0.008713,0.008713
15,1024.04,1.05668,3.26911,1.66119,0.80209,0.79293,0.8042,0.52478,0.95943,2.76851,1.46061,0.008614,0.008614,0.008614
16,1092.3,1.04837,3.24289,1.65435,0.8151,0.8176,0.81982,0.53316,0.97131,2.81661,1.4643,0.008515,0.008515,0.008515
17,1160.54,1.02356,3.11849,1.61415,0.80287,0.8012,0.83193,0.54323,0.97458,2.73777,1.4613,0.008416,0.008416,0.008416
18,1228.76,1.04315,3.15521,1.64889,0.83408,0.79466,0.83168,0.5458,0.93084,2.65333,1.43775,0.008317,0.008317,0.008317
19,1297.06,1.03185,3.11942,1.62936,0.86498,0.81456,0.83949,0.52945,0.98289,2.65656,1.46284,0.008218,0.008218,0.008218
20,1365.3,1.02038,3.08705,1.60961,0.84672,0.83082,0.83689,0.54528,0.94004,2.70047,1.43885,0.008119,0.008119,0.008119
21,1433.48,1.02449,3.00595,1.62883,0.88312,0.82927,0.86002,0.56261,0.93692,2.5339,1.43143,0.00802,0.00802,0.00802
22,1501.7,1.02554,2.96656,1.63074,0.86046,0.81906,0.84978,0.55509,0.92163,2.52176,1.43025,0.007921,0.007921,0.007921
23,1569.92,1.01228,2.90819,1.61642,0.86524,0.83686,0.84791,0.5365,0.96997,2.54592,1.45097,0.007822,0.007822,0.007822
24,1638.22,1.01808,2.91256,1.61263,0.87252,0.84983,0.8571,0.55297,0.95628,2.48842,1.45199,0.007723,0.007723,0.007723
25,1706.42,1.02004,2.92655,1.61242,0.87771,0.85322,0.87198,0.55643,0.97893,2.57532,1.45543,0.007624,0.007624,0.007624
26,1774.63,1.01101,2.81095,1.6076,0.87601,0.83172,0.86016,0.55556,0.95456,2.43287,1.44085,0.007525,0.007525,0.007525
27,1842.82,1.01258,2.87883,1.61525,0.8611,0.82851,0.85329,0.56263,0.94645,2.50641,1.42989,0.007426,0.007426,0.007426
28,1910.98,1.00229,2.79894,1.60183,0.87549,0.865,0.88046,0.56525,0.97062,2.43813,1.44126,0.007327,0.007327,0.007327
29,1979.2,1.00148,2.81406,1.60926,0.8748,0.86118,0.88308,0.57587,0.95839,2.38507,1.43245,0.007228,0.007228,0.007228
30,2047.41,1.00232,2.7571,1.60873,0.88627,0.84264,0.87283,0.56335,0.94998,2.39945,1.43999,0.007129,0.007129,0.007129
31,2115.61,0.99397,2.7537,1.58817,0.88345,0.84796,0.87907,0.57507,0.94122,2.41584,1.43009,0.00703,0.00703,0.00703
32,2183.82,0.9992,2.69645,1.58416,0.86451,0.79971,0.83798,0.53283,1.07219,2.83766,1.50329,0.006931,0.006931,0.006931
33,2252.01,0.98863,2.70131,1.58664,0.88962,0.86944,0.88661,0.57444,0.96962,2.48607,1.4469,0.006832,0.006832,0.006832
34,2320.2,0.99662,2.66983,1.58727,0.86804,0.87806,0.88926,0.57382,0.97117,2.36835,1.42946,0.006733,0.006733,0.006733
35,2388.35,0.97542,2.61903,1.55456,0.90736,0.85626,0.89378,0.57586,0.9578,2.39657,1.42682,0.006634,0.006634,0.006634
36,2456.58,0.9737,2.66986,1.57227,0.9063,0.87422,0.90631,0.58904,0.93549,2.2831,1.4127,0.006535,0.006535,0.006535
37,2524.75,0.98176,2.5932,1.57225,0.90879,0.86742,0.8952,0.59053,0.94681,2.27391,1.42436,0.006436,0.006436,0.006436
38,2592.91,0.97594,2.59831,1.57441,0.90042,0.87163,0.90431,0.58634,0.96285,2.37763,1.42729,0.006337,0.006337,0.006337
39,2661.09,0.96787,2.53929,1.55964,0.91063,0.86365,0.89846,0.58912,0.98615,2.3099,1.44106,0.006238,0.006238,0.006238
40,2729.32,0.97938,2.57261,1.56533,0.9082,0.88317,0.90373,0.58824,0.94676,2.27523,1.4109,0.006139,0.006139,0.006139
41,2797.49,0.97087,2.5724,1.56118,0.8977,0.8655,0.90268,0.59588,0.92693,2.28157,1.40276,0.00604,0.00604,0.00604
42,2865.73,0.96711,2.55008,1.55533,0.91579,0.86767,0.90877,0.59881,0.9696,2.3635,1.42007,0.005941,0.005941,0.005941
43,2933.96,0.96988,2.48677,1.55406,0.91189,0.88407,0.90692,0.59602,0.9622,2.28381,1.41708,0.005842,0.005842,0.005842
44,3002.15,0.95681,2.5429,1.54916,0.93339,0.87968,0.91459,0.59226,0.9849,2.32151,1.42598,0.005743,0.005743,0.005743
45,3070.35,0.96326,2.51302,1.54868,0.92618,0.89102,0.92194,0.5952,1.01247,2.28713,1.43575,0.005644,0.005644,0.005644
46,3138.56,0.96326,2.4915,1.55564,0.91873,0.90222,0.91882,0.60007,0.98252,2.24546,1.42872,0.005545,0.005545,0.005545
47,3206.73,0.94989,2.47948,1.52942,0.90899,0.88901,0.91391,0.58915,1.07381,2.59602,1.47941,0.005446,0.005446,0.005446
48,3274.94,0.94411,2.43906,1.53625,0.91837,0.89259,0.92422,0.59466,1.03662,2.4834,1.4456,0.005347,0.005347,0.005347
49,3343.13,0.95162,2.45153,1.54511,0.92071,0.90199,0.93161,0.59435,1.01645,2.36227,1.43331,0.005248,0.005248,0.005248
50,3411.29,0.94032,2.35342,1.52142,0.94476,0.90698,0.93462,0.61907,0.92475,2.0868,1.3967,0.005149,0.005149,0.005149
51,3479.47,0.9352,2.40163,1.51524,0.9377,0.91598,0.93593,0.61647,0.90048,2.07021,1.38512,0.00505,0.00505,0.00505
52,3547.68,0.92328,2.31092,1.51036,0.93498,0.90598,0.93163,0.6227,0.90621,2.02798,1.38945,0.004951,0.004951,0.004951
53,3615.9,0.9202,2.30029,1.5062,0.93242,0.90914,0.93196,0.6239,0.90489,2.05289,1.3842,0.004852,0.004852,0.004852
54,3684.06,0.93095,2.3408,1.52318,0.9438,0.91949,0.94685,0.5998,1.03239,2.18297,1.44501,0.004753,0.004753,0.004753
