epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7328,1.35095,10.8061,2.10813,0.45351,0.46531,0.42991,0.33722,1.01967,3.97988,1.59798,0.00331667,0.00331667,0.07015
2,137.031,1.16219,5.26371,1.83785,0.31407,0.53541,0.51245,0.38321,0.99113,6.81191,1.54602,0.00658417,0.00658417,0.0400842
3,205.237,1.14485,5.27723,1.79722,0.54415,0.62947,0.53698,0.39041,0.95804,4.40488,1.50618,0.00978566,0.00978566,0.00995233
4,273.537,1.15311,5.0518,1.78797,0.61188,0.56367,0.56798,0.39524,1.0667,3.97915,1.58996,0.009703,0.009703,0.009703
5,341.777,1.12916,4.43849,1.74119,0.62912,0.64184,0.64456,0.43567,1.01628,3.70321,1.52094,0.009604,0.009604,0.009604
6,410.047,1.13872,4.26963,1.77047,0.62251,0.65117,0.65264,0.43928,1.01305,3.50968,1.52766,0.009505,0.009505,0.009505
7,478.384,1.1221,4.11662,1.74868,0.68741,0.66845,0.67258,0.44906,1.00707,3.5726,1.51277,0.009406,0.009406,0.009406
8,546.586,1.10753,3.90328,1.72026,0.60107,0.61734,0.63791,0.43366,1.03405,3.56388,1.52285,0.009307,0.009307,0.009307
9,614.763,1.09792,3.73928,1.7183,0.7252,0.71556,0.72989,0.47749,1.00025,3.19551,1.48925,0.009208,0.009208,0.009208
10,683.025,1.09573,3.68471,1.71734,0.75772,0.70912,0.73545,0.48051,1.00807,3.18125,1.48507,0.009109,0.009109,0.009109
11,751.312,1.07357,3.59131,1.69198,0.7682,0.71716,0.75415,0.4979,0.96249,3.03059,1.46165,0.00901,0.00901,0.00901
12,819.539,1.06767,3.4776,1.6892,0.75353,0.71557,0.75516,0.49587,1.01757,3.1535,1.51018,0.008911,0.008911,0.008911
13,887.811,1.06601,3.39323,1.67682,0.76726,0.77136,0.7657,0.50863,0.96765,2.96125,1.46677,0.008812,0.008812,0.008812
14,956.016,1.0587,3.3335,1.66289,0.81296,0.77259,0.78625,0.51017,0.97872,2.89156,1.46254,0.008713,0.008713,0.008713
15,1024.26,1.0517,3.286,1.66173,0.77836,0.77315,0.78335,0.51771,0.9602,2.79184,1.46548,0.008614,0.008614,0.008614
16,1092.48,1.04867,3.19202,1.65687,0.79423,0.81904,0.82223,0.53895,0.94307,2.72226,1.44684,0.008515,0.008515,0.008515
17,1160.74,1.02858,3.1702,1.61906,0.80557,0.7636,0.81136,0.52869,0.96071,2.77819,1.45777,0.008416,0.008416,0.008416
18,1228.91,1.05371,3.15352,1.66223,0.83936,0.79299,0.81687,0.53456,0.95697,2.77641,1.446,0.008317,0.008317,0.008317
19,1297.16,1.0366,3.11712,1.63576,0.8596,0.80396,0.83239,0.53262,0.94918,2.69221,1.44048,0.008218,0.008218,0.008218
20,1365.38,1.03048,3.04505,1.61994,0.84614,0.76367,0.82855,0.53416,0.9566,2.63412,1.45813,0.008119,0.008119,0.008119
21,1433.54,1.02191,3.04851,1.62484,0.87478,0.79244,0.84863,0.55779,0.93412,2.55426,1.42562,0.00802,0.00802,0.00802
22,1501.79,1.03167,2.99766,1.63748,0.82299,0.78037,0.81712,0.54607,0.92713,2.6566,1.43457,0.007921,0.007921,0.007921
23,1569.96,1.01414,2.94965,1.61931,0.8848,0.83721,0.86095,0.5631,0.95088,2.47838,1.43336,0.007822,0.007822,0.007822
24,1638.23,1.02823,2.89914,1.61665,0.85215,0.84035,0.85835,0.56562,0.94074,2.49959,1.4301,0.007723,0.007723,0.007723
25,1706.49,1.01147,2.94562,1.6031,0.86165,0.81748,0.85475,0.55586,0.94392,2.54816,1.43514,0.007624,0.007624,0.007624
26,1774.71,1.00502,2.80997,1.60705,0.85072,0.82399,0.85152,0.55743,0.96144,2.46519,1.43893,0.007525,0.007525,0.007525
27,1842.91,1.01312,2.87094,1.61904,0.84626,0.79226,0.83619,0.54746,0.96127,2.66076,1.44064,0.007426,0.007426,0.007426
28,1911.12,1.01566,2.86229,1.61,0.86364,0.84345,0.85517,0.55838,0.97515,2.47354,1.45005,0.007327,0.007327,0.007327
29,1979.35,1.01976,2.84418,1.61563,0.87579,0.84222,0.87344,0.57336,0.96465,2.4534,1.43286,0.007228,0.007228,0.007228
30,2047.55,1.01089,2.8108,1.6156,0.87861,0.83913,0.87002,0.57662,0.92909,2.41761,1.42572,0.007129,0.007129,0.007129
31,2115.76,1.0058,2.79277,1.59169,0.89096,0.82196,0.87537,0.57384,0.9457,2.42961,1.43362,0.00703,0.00703,0.00703
32,2183.98,1.00292,2.72632,1.58327,0.88076,0.86374,0.88587,0.56664,0.96611,2.46946,1.43013,0.006931,0.006931,0.006931
33,2252.18,1.00312,2.72916,1.59813,0.85804,0.81689,0.84352,0.56164,0.94105,2.6744,1.42934,0.006832,0.006832,0.006832
34,2320.41,0.98619,2.73137,1.57687,0.89153,0.85752,0.88101,0.58229,0.93006,2.34659,1.4102,0.006733,0.006733,0.006733
35,2388.66,0.97918,2.60547,1.55799,0.88632,0.86084,0.88592,0.57847,0.93314,2.38189,1.40953,0.006634,0.006634,0.006634
36,2456.92,0.98483,2.67009,1.58035,0.88211,0.82394,0.87855,0.58312,0.92854,2.41425,1.42292,0.006535,0.006535,0.006535
37,2525.1,0.99337,2.6582,1.58192,0.89131,0.83285,0.87955,0.58906,0.92951,2.3571,1.4105,0.006436,0.006436,0.006436
38,2593.3,0.9854,2.63462,1.58189,0.92551,0.87335,0.91381,0.60278,0.93588,2.26946,1.41172,0.006337,0.006337,0.006337
39,2661.51,0.98675,2.59363,1.56868,0.89332,0.85177,0.89456,0.58585,0.94332,2.28046,1.42089,0.006238,0.006238,0.006238
40,2729.64,0.97447,2.56921,1.55871,0.9014,0.87466,0.90249,0.59106,0.95001,2.2432,1.41294,0.006139,0.006139,0.006139
41,2797.78,0.98605,2.61482,1.56959,0.91633,0.87689,0.90905,0.60286,0.91237,2.21779,1.39828,0.00604,0.00604,0.00604
42,2866,0.98032,2.55619,1.56471,0.9108,0.87445,0.90445,0.60377,0.92132,2.29017,1.40112,0.005941,0.005941,0.005941
43,2934.24,0.98188,2.52851,1.55872,0.91609,0.87979,0.91101,0.59856,0.93746,2.28276,1.4067,0.005842,0.005842,0.005842
44,3002.39,0.97623,2.56122,1.56447,0.92668,0.86743,0.91458,0.59801,0.93606,2.19781,1.40863,0.005743,0.005743,0.005743
45,3070.6,0.97323,2.50525,1.55637,0.90627,0.87091,0.90709,0.60225,0.93776,2.22494,1.40667,0.005644,0.005644,0.005644
46,3138.83,0.97309,2.49338,1.56488,0.90726,0.89961,0.918,0.60941,0.9338,2.26424,1.4021,0.005545,0.005545,0.005545
47,3207.11,0.96576,2.48488,1.54239,0.92907,0.89214,0.91506,0.6008,0.94266,2.2257,1.409,0.005446,0.005446,0.005446
48,3275.4,0.96066,2.46578,1.54922,0.90883,0.89186,0.92416,0.61545,0.91164,2.12456,1.39558,0.005347,0.005347,0.005347
49,3343.66,0.95595,2.43298,1.54568,0.89204,0.88002,0.91402,0.60526,0.9409,2.2045,1.40915,0.005248,0.005248,0.005248
50,3411.84,0.96196,2.37891,1.54099,0.94011,0.89929,0.93373,0.61476,0.91811,2.14746,1.39537,0.005149,0.005149,0.005149
51,3480.07,0.96149,2.42413,1.53882,0.90725,0.88993,0.92278,0.61654,0.91843,2.15884,1.39331,0.00505,0.00505,0.00505
52,3548.35,0.94121,2.40967,1.52525,0.92761,0.89586,0.93062,0.6104,0.91599,2.13298,1.39487,0.004951,0.004951,0.004951
53,3616.54,0.92934,2.32986,1.51167,0.91383,0.88315,0.91862,0.60343,0.9324,2.20773,1.40591,0.004852,0.004852,0.004852
54,3684.73,0.93096,2.39091,1.52366,0.91087,0.90056,0.92471,0.61151,0.92249,2.13993,1.3956,0.004753,0.004753,0.004753
55,3752.95,0.94149,2.33751,1.53991,0.92522,0.87255,0.92274,0.60789,0.93047,2.14602,1.40274,0.004654,0.004654,0.004654
56,3821.15,0.93505,2.34459,1.51191,0.92218,0.89316,0.92479,0.61394,0.9267,2.16086,1.39916,0.004555,0.004555,0.004555
57,3889.37,0.92979,2.322,1.52928,0.919,0.88347,0.92761,0.61825,0.91077,2.11682,1.39407,0.004456,0.004456,0.004456
