epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3103,1.10708,9.51484,1.72765,0.51374,0.49343,0.45311,0.34777,1.0041,3.81711,1.59085,0.00331667,0.00331667,0.07015
2,137.769,0.97393,4.2044,1.5288,0.62944,0.56755,0.58222,0.42521,0.92117,3.69726,1.48246,0.00658417,0.00658417,0.0400842
3,206.298,0.96886,4.07105,1.50034,0.63352,0.56998,0.55201,0.3903,1.04871,4.0589,1.58822,0.00978566,0.00978566,0.00995233
4,274.729,0.96953,3.84391,1.49308,0.7212,0.68639,0.70604,0.47417,0.95794,3.13878,1.48737,0.009703,0.009703,0.009703
5,343.247,0.93912,3.27571,1.4606,0.58977,0.72216,0.70685,0.46783,1.04858,3.80338,1.53833,0.009604,0.009604,0.009604
6,411.722,0.92334,2.89206,1.44878,0.78193,0.73085,0.74736,0.49883,0.97889,2.95477,1.48428,0.009505,0.009505,0.009505
7,480.206,0.90288,2.70866,1.42744,0.81124,0.7283,0.76369,0.51849,0.9643,2.76803,1.47783,0.009406,0.009406,0.009406
8,548.685,0.89903,2.55616,1.41707,0.74344,0.722,0.74474,0.50792,0.95211,2.94418,1.47076,0.009307,0.009307,0.009307
9,617.153,0.87955,2.44154,1.40518,0.82747,0.80985,0.82646,0.54363,0.95483,2.63792,1.46292,0.009208,0.009208,0.009208
10,685.577,0.86049,2.31572,1.38727,0.78744,0.79529,0.82088,0.53695,0.96121,2.61951,1.48008,0.009109,0.009109,0.009109
11,754.02,0.84513,2.2753,1.37694,0.8149,0.78884,0.80919,0.52598,0.98252,2.74277,1.48769,0.00901,0.00901,0.00901
12,822.494,0.83861,2.17842,1.36533,0.79573,0.77069,0.80233,0.52924,0.9795,2.53381,1.484,0.008911,0.008911,0.008911
13,890.903,0.8184,2.03692,1.3527,0.82206,0.82889,0.83046,0.54375,0.95687,2.52622,1.46517,0.008812,0.008812,0.008812
14,959.375,0.813,2.03585,1.34515,0.86434,0.80768,0.84842,0.5546,0.94317,2.49642,1.44715,0.008713,0.008713,0.008713
15,1027.8,0.80224,1.97971,1.3375,0.85213,0.75546,0.82263,0.5386,0.95274,2.56138,1.4622,0.008614,0.008614,0.008614
16,1096.23,0.77945,1.9098,1.32223,0.85238,0.84661,0.84178,0.55406,0.94643,2.4207,1.46083,0.008515,0.008515,0.008515
17,1164.69,0.76584,1.88887,1.31077,0.82422,0.78676,0.7986,0.52051,1.00869,2.66746,1.51836,0.008416,0.008416,0.008416
18,1233.14,0.75297,1.81326,1.30057,0.85094,0.82663,0.83204,0.54074,0.96441,2.46941,1.48505,0.008317,0.008317,0.008317
19,1301.6,0.73928,1.77682,1.29463,0.87495,0.80576,0.84467,0.54885,0.95849,2.43716,1.47733,0.008218,0.008218,0.008218
20,1369.99,0.72997,1.76381,1.27992,0.82857,0.74828,0.77106,0.51228,0.99619,2.73892,1.53412,0.008119,0.008119,0.008119
21,1438.37,0.71419,1.7082,1.26726,0.89518,0.82895,0.8505,0.5523,0.9616,2.32765,1.49159,0.00802,0.00802,0.00802
22,1506.81,0.69826,1.68048,1.26227,0.82291,0.76572,0.79176,0.51898,0.96674,2.50774,1.50955,0.007921,0.007921,0.007921
23,1575.28,0.68908,1.64538,1.25348,0.87006,0.81324,0.84109,0.53998,0.96872,2.3123,1.50259,0.007822,0.007822,0.007822
24,1643.71,0.66147,1.59376,1.23787,0.8827,0.8382,0.85451,0.55386,0.96122,2.32422,1.48846,0.007723,0.007723,0.007723
25,1712.13,0.64238,1.54673,1.22376,0.85394,0.80826,0.83078,0.54314,0.9629,2.29102,1.52012,0.007624,0.007624,0.007624
26,1780.59,0.62807,1.50798,1.21749,0.86117,0.83443,0.84369,0.54142,0.96946,2.29347,1.5238,0.007525,0.007525,0.007525
27,1849,0.61853,1.5013,1.20849,0.8959,0.8401,0.86534,0.55099,0.96902,2.20172,1.50817,0.007426,0.007426,0.007426
28,1917.49,0.59524,1.44072,1.19605,0.88502,0.82852,0.85458,0.55333,0.94436,2.21298,1.5004,0.007327,0.007327,0.007327
29,1985.86,0.58282,1.41919,1.18619,0.88294,0.83278,0.84814,0.54454,0.96884,2.2267,1.51758,0.007228,0.007228,0.007228
30,2054.32,0.57176,1.40218,1.18004,0.91184,0.81284,0.83956,0.54735,0.94739,2.22189,1.52589,0.007129,0.007129,0.007129
31,2122.78,0.55285,1.36195,1.16877,0.88078,0.85152,0.84675,0.55226,0.95666,2.28911,1.5235,0.00703,0.00703,0.00703
32,2191.19,0.53756,1.34305,1.15722,0.85443,0.82259,0.82967,0.54145,0.94441,2.1818,1.53499,0.006931,0.006931,0.006931
33,2259.66,0.51671,1.29889,1.1499,0.87509,0.82335,0.83765,0.55051,0.94499,2.25789,1.52581,0.006832,0.006832,0.006832
34,2328.11,0.50781,1.26155,1.14415,0.86968,0.85336,0.85938,0.55799,0.95946,2.23866,1.53427,0.006733,0.006733,0.006733
35,2396.55,0.49363,1.24516,1.13616,0.84722,0.79788,0.79543,0.51901,0.9975,2.53346,1.59272,0.006634,0.006634,0.006634
36,2464.99,0.47257,1.21543,1.12688,0.89659,0.83582,0.83624,0.54632,0.95332,2.10189,1.5551,0.006535,0.006535,0.006535
37,2533.44,0.47481,1.20087,1.12494,0.89159,0.82815,0.84121,0.5453,0.9486,2.18874,1.54505,0.006436,0.006436,0.006436
38,2601.9,0.4584,1.16408,1.11734,0.88832,0.82483,0.83591,0.53979,0.94358,2.23294,1.53298,0.006337,0.006337,0.006337
39,2670.34,0.44939,1.15594,1.11134,0.87351,0.82674,0.82597,0.54203,0.95059,2.17102,1.56323,0.006238,0.006238,0.006238
40,2738.8,0.43772,1.14184,1.10873,0.89225,0.83196,0.84018,0.54648,0.94153,2.225,1.55377,0.006139,0.006139,0.006139
41,2807.21,0.42926,1.12869,1.10242,0.86825,0.83082,0.82491,0.53999,0.94183,2.22662,1.5709,0.00604,0.00604,0.00604
42,2875.68,0.4163,1.10828,1.09875,0.86133,0.83304,0.84048,0.54561,0.93142,2.19463,1.54367,0.005941,0.005941,0.005941
43,2944.12,0.4076,1.09557,1.09408,0.89218,0.82105,0.83592,0.54831,0.93982,2.12539,1.55888,0.005842,0.005842,0.005842
44,3012.5,0.39601,1.06213,1.08946,0.87972,0.82868,0.83308,0.54475,0.93861,2.19577,1.5538,0.005743,0.005743,0.005743
45,3080.94,0.3871,1.05291,1.08559,0.85865,0.85482,0.83569,0.5425,0.93549,2.09891,1.55117,0.005644,0.005644,0.005644
46,3149.33,0.37866,1.03248,1.08191,0.88383,0.82088,0.82619,0.54481,0.9234,2.20212,1.55719,0.005545,0.005545,0.005545
47,3217.73,0.37151,1.01345,1.07853,0.88271,0.81898,0.82723,0.53758,0.93658,2.20469,1.57112,0.005446,0.005446,0.005446
48,3286.16,0.35779,0.97897,1.07378,0.89116,0.82924,0.81828,0.53469,0.93397,2.2739,1.57645,0.005347,0.005347,0.005347
49,3354.59,0.3566,0.9823,1.07246,0.89307,0.82088,0.83303,0.54399,0.93666,2.19422,1.56424,0.005248,0.005248,0.005248
50,3422.96,0.34649,0.97311,1.06744,0.89843,0.81441,0.83123,0.54829,0.92182,2.16338,1.56572,0.005149,0.005149,0.005149
51,3491.36,0.34113,0.96123,1.06821,0.86268,0.84213,0.82676,0.53545,0.94512,2.20753,1.5874,0.00505,0.00505,0.00505
52,3559.82,0.32752,0.94603,1.06433,0.86653,0.85225,0.84782,0.55111,0.91745,2.12097,1.55275,0.004951,0.004951,0.004951
53,3628.2,0.31955,0.92902,1.0607,0.86586,0.85235,0.83941,0.54876,0.92973,2.14144,1.59159,0.004852,0.004852,0.004852
54,3696.63,0.31251,0.91232,1.05896,0.89537,0.83355,0.83655,0.54692,0.93467,2.14055,1.57707,0.004753,0.004753,0.004753
