epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7366,1.33705,10.5245,2.09126,0.49461,0.4979,0.44835,0.35111,1.00193,3.70476,1.57638,0.00331667,0.00331667,0.07015
2,137.134,1.15872,5.09603,1.8129,0.77293,0.45131,0.51761,0.3814,1.00616,4.31748,1.5503,0.00658417,0.00658417,0.0400842
3,205.384,1.13322,5.33298,1.7926,0.49082,0.44605,0.49673,0.33879,1.17988,5.07086,1.71084,0.00978566,0.00978566,0.00995233
4,273.667,1.15324,4.95321,1.7785,0.62145,0.56713,0.56644,0.40352,1.00283,3.86222,1.53461,0.009703,0.009703,0.009703
5,341.957,1.12851,4.23363,1.73531,0.67376,0.58853,0.61439,0.41065,1.12289,3.72052,1.60473,0.009604,0.009604,0.009604
6,410.161,1.12439,4.01599,1.74909,0.69204,0.65872,0.66452,0.44131,1.07276,3.70188,1.58014,0.009505,0.009505,0.009505
7,478.442,1.09751,3.90572,1.72872,0.76763,0.70789,0.74198,0.4905,1.01152,3.35149,1.4947,0.009406,0.009406,0.009406
8,546.764,1.09246,3.64015,1.70369,0.79752,0.75465,0.75731,0.47581,1.05687,3.05234,1.51745,0.009307,0.009307,0.009307
9,615.003,1.09101,3.56957,1.71821,0.75612,0.65575,0.71041,0.47454,0.99129,3.18646,1.49893,0.009208,0.009208,0.009208
10,683.224,1.07126,3.47122,1.69765,0.7938,0.72671,0.75123,0.4904,1.02325,3.08299,1.49922,0.009109,0.009109,0.009109
11,751.464,1.06408,3.40881,1.68756,0.7885,0.74775,0.77908,0.50875,0.99137,2.86075,1.48129,0.00901,0.00901,0.00901
12,819.756,1.06696,3.30622,1.68358,0.80136,0.78519,0.80007,0.52462,0.98972,2.86507,1.47237,0.008911,0.008911,0.008911
13,888.022,1.06366,3.26872,1.67346,0.80982,0.80628,0.82371,0.53382,0.96778,2.77985,1.4566,0.008812,0.008812,0.008812
14,956.311,1.045,3.16975,1.66006,0.83954,0.7763,0.81375,0.52569,0.99555,2.73653,1.46915,0.008713,0.008713,0.008713
15,1024.48,1.04758,3.08734,1.6596,0.8132,0.7657,0.78831,0.51762,0.99029,2.84954,1.4878,0.008614,0.008614,0.008614
16,1092.7,1.03895,3.13696,1.65109,0.84693,0.7984,0.83847,0.53989,0.97474,2.71185,1.4599,0.008515,0.008515,0.008515
17,1160.96,1.0332,3.06881,1.62133,0.81131,0.76633,0.82004,0.54367,0.96154,2.75105,1.44842,0.008416,0.008416,0.008416
18,1229.22,1.04023,3.03677,1.64592,0.84178,0.80815,0.83988,0.54237,0.95027,2.62312,1.44357,0.008317,0.008317,0.008317
