epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0263,1.33201,10.5129,2.06441,0.48813,0.46731,0.4313,0.34254,0.98703,3.85966,1.56597,0.00331667,0.00331667,0.07015
2,137.539,1.13991,5.01927,1.80751,0.61649,0.49698,0.51734,0.37365,1.02769,3.76261,1.59449,0.00658417,0.00658417,0.0400842
3,206.024,1.1316,5.13069,1.78358,0.49998,0.41695,0.43432,0.28764,1.24057,6.16304,1.79842,0.00978566,0.00978566,0.00995233
4,274.527,1.14628,4.78655,1.76893,0.58852,0.6094,0.54705,0.40403,1.00571,4.09791,1.5188,0.009703,0.009703,0.009703
5,343.021,1.11313,4.41337,1.72201,0.60182,0.60961,0.59544,0.40935,1.06009,3.81046,1.55142,0.009604,0.009604,0.009604
6,411.411,1.12426,4.0658,1.7514,0.64686,0.64589,0.63071,0.43799,0.99082,3.42493,1.48871,0.009505,0.009505,0.009505
7,479.881,1.11203,3.97893,1.73053,0.71353,0.64697,0.67612,0.4599,1.00976,3.34885,1.504,0.009406,0.009406,0.009406
8,548.318,1.09887,3.79459,1.71389,0.74361,0.67499,0.70945,0.47562,1.01418,3.14861,1.49311,0.009307,0.009307,0.009307
9,616.634,1.09541,3.66433,1.71196,0.71325,0.70706,0.72992,0.47971,1.01396,3.26715,1.50704,0.009208,0.009208,0.009208
10,685.002,1.08199,3.48994,1.70139,0.75665,0.74579,0.75653,0.48975,1.01176,3.07022,1.49212,0.009109,0.009109,0.009109
11,753.429,1.06429,3.41676,1.69041,0.7497,0.7487,0.77221,0.51046,0.95899,2.93381,1.45893,0.00901,0.00901,0.00901
12,821.783,1.06374,3.32423,1.68387,0.801,0.7245,0.76813,0.50595,0.9878,2.97514,1.47093,0.008911,0.008911,0.008911
13,890.239,1.05969,3.20879,1.66606,0.81131,0.78627,0.7996,0.52647,0.9704,2.84345,1.46371,0.008812,0.008812,0.008812
14,958.725,1.04597,3.22189,1.65337,0.81381,0.79068,0.81179,0.52497,0.98394,2.8468,1.4682,0.008713,0.008713,0.008713
15,1027.11,1.05177,3.22226,1.6654,0.81482,0.76361,0.80378,0.52704,0.96372,2.82802,1.4611,0.008614,0.008614,0.008614
16,1095.62,1.03636,3.10191,1.64574,0.83533,0.79688,0.81859,0.53829,0.96145,2.69756,1.44018,0.008515,0.008515,0.008515
17,1164.15,1.03058,3.0158,1.6165,0.82179,0.79534,0.82719,0.53415,0.96173,2.72792,1.44801,0.008416,0.008416,0.008416
18,1232.59,1.02924,2.9738,1.63865,0.83327,0.7782,0.81933,0.53929,0.91972,2.65787,1.44016,0.008317,0.008317,0.008317
19,1301.06,1.02615,2.98466,1.631,0.86541,0.84,0.84606,0.54555,0.95467,2.61845,1.44465,0.008218,0.008218,0.008218
20,1369.48,1.02338,2.90877,1.61899,0.83017,0.81144,0.83752,0.55287,0.93612,2.60704,1.44261,0.008119,0.008119,0.008119
21,1437.89,1.01453,2.88219,1.62038,0.87193,0.82475,0.85317,0.55791,0.93205,2.45735,1.42941,0.00802,0.00802,0.00802
22,1506.36,1.02443,2.83686,1.6318,0.85461,0.82436,0.85041,0.56175,0.92055,2.48057,1.42752,0.007921,0.007921,0.007921
23,1574.68,1.00482,2.78133,1.60734,0.86459,0.8525,0.84462,0.53718,0.98679,2.5518,1.45059,0.007822,0.007822,0.007822
24,1643.04,1.00966,2.73913,1.60761,0.8769,0.84545,0.86602,0.56646,0.92688,2.47236,1.42434,0.007723,0.007723,0.007723
25,1711.46,1.00532,2.75072,1.59136,0.87084,0.8394,0.85483,0.56044,0.93707,2.53623,1.43175,0.007624,0.007624,0.007624
26,1779.9,0.99606,2.70159,1.59521,0.88914,0.82952,0.87185,0.56529,0.94226,2.50462,1.42726,0.007525,0.007525,0.007525
27,1848.31,1.00441,2.75073,1.61159,0.88015,0.83682,0.87114,0.5734,0.93631,2.46278,1.42654,0.007426,0.007426,0.007426
28,1916.69,0.99714,2.68525,1.59769,0.86913,0.83105,0.86759,0.56572,0.96864,2.45188,1.44228,0.007327,0.007327,0.007327
29,1985.03,1.00475,2.67727,1.60623,0.88561,0.8438,0.87393,0.57258,0.94992,2.397,1.43087,0.007228,0.007228,0.007228
30,2053.34,0.98528,2.61899,1.5986,0.89348,0.85216,0.88341,0.56947,0.93081,2.37791,1.42466,0.007129,0.007129,0.007129
